date,temp_mean,precipitation,temp_squared,temp_max,temp_min
2022-01-01,13.6,20.3,184.95999999999998,17.4,11.3
2022-01-02,13.8,11.8,190.44000000000003,18.5,7.8
2022-01-03,-0.6,22.4,0.36,6.9,-5.4
2022-01-04,-4.3,0.0,18.49,0.4,-10.3
2022-01-05,1.2,0.0,1.44,5.7,-4.9
2022-01-06,2.2,0.1,4.840000000000001,4.0,0.4
2022-01-07,-3.4,5.5,11.559999999999999,0.6,-9.1
2022-01-08,-5.0,0.0,25.0,-0.4,-10.6
2022-01-09,3.5,8.9,12.25,8.6,-2.0
2022-01-10,-0.4,0.0,0.16000000000000003,4.0,-3.7
2022-01-11,-4.7,0.0,22.090000000000003,-2.4,-6.4
2022-01-12,0.3,0.0,0.09,8.0,-5.2
2022-01-13,2.6,0.0,6.760000000000001,8.9,-2.5
2022-01-14,3.2,0.1,10.240000000000002,7.7,-0.2
2022-01-15,-4.5,0.0,20.25,-0.6,-7.3
2022-01-16,-4.5,30.2,20.25,5.8,-9.1
2022-01-17,1.7,3.6,2.8899999999999997,7.4,-1.1
2022-01-18,-0.2,0.0,0.04000000000000001,3.3,-3.8
2022-01-19,3.9,0.0,15.209999999999999,10.1,-3.4
2022-01-20,2.1,11.0,4.41,5.9,-4.1
2022-01-21,-5.6,0.0,31.359999999999996,-2.8,-9.1
2022-01-22,-4.7,0.0,22.090000000000003,0.8,-8.9
2022-01-23,-0.9,0.0,0.81,4.8,-5.3
2022-01-24,0.6,0.0,0.36,5.2,-4.2
2022-01-25,2.4,0.0,5.76,8.2,-1.9
2022-01-26,-3.9,0.0,15.209999999999999,-0.1,-6.9
2022-01-27,-3.3,0.1,10.889999999999999,1.9,-7.9
2022-01-28,0.0,3.8,0.0,3.3,-2.4
2022-01-29,-4.9,0.4,24.010000000000005,-0.9,-7.4
2022-01-30,-4.9,0.0,24.010000000000005,-0.1,-9.2
2022-01-31,-2.7,0.0,7.290000000000001,2.3,-5.8
2022-02-01,-1.0,0.0,1.0,5.1,-5.8
2022-02-02,2.6,0.1,6.760000000000001,9.9,-3.3
2022-02-03,8.4,16.5,70.56,13.9,4.6
2022-02-04,8.1,18.8,65.61,15.6,0.1
2022-02-05,-2.0,0.0,4.0,0.3,-5.5
2022-02-06,-2.6,0.0,6.760000000000001,2.7,-6.2
2022-02-07,2.1,7.3,4.41,5.7,-1.5
2022-02-08,1.8,0.0,3.24,6.7,-2.5
2022-02-09,3.7,0.0,13.690000000000001,11.4,-3.7
2022-02-10,6.8,0.0,46.239999999999995,13.8,0.2
2022-02-11,7.7,0.0,59.290000000000006,16.9,-2.2
2022-02-12,10.7,0.2,114.48999999999998,14.9,6.1
2022-02-13,0.6,4.9,0.36,5.8,-4.3
2022-02-14,-3.7,0.0,13.690000000000001,-0.4,-6.1
2022-02-15,-2.3,0.0,5.289999999999999,4.1,-6.6
2022-02-16,3.7,0.0,13.690000000000001,11.0,-2.8
2022-02-17,14.2,0.1,201.64,19.0,7.6
2022-02-18,7.6,2.9,57.76,17.2,-2.2
2022-02-19,0.1,0.0,0.010000000000000002,7.7,-4.3
2022-02-20,-1.1,0.0,1.2100000000000002,4.7,-6.9
2022-02-21,6.8,0.0,46.239999999999995,15.5,-0.7
2022-02-22,13.8,2.9,190.44000000000003,18.8,7.1
2022-02-23,15.1,0.0,228.01,21.4,5.2
2022-02-24,1.9,9.8,3.61,4.1,0.3
2022-02-25,4.7,13.9,22.090000000000003,11.9,0.8
2022-02-26,2.0,0.0,4.0,6.7,-1.8
2022-02-27,4.9,0.0,24.010000000000005,11.1,-0.8
2022-02-28,3.8,0.0,14.44,8.4,-0.6
2022-03-01,6.0,0.0,36.0,13.2,-0.8
2022-03-02,9.2,0.0,84.63999999999999,15.7,2.9
2022-03-03,8.3,0.0,68.89000000000001,11.9,0.8
2022-03-04,0.9,0.0,0.81,6.4,-4.8
2022-03-05,6.9,0.0,47.61000000000001,14.8,0.2
2022-03-06,17.7,11.1,313.28999999999996,23.9,9.4
2022-03-07,19.0,3.9,361.0,24.8,12.8
2022-03-08,7.5,0.0,56.25,10.7,4.8
2022-03-09,5.5,11.8,30.25,7.2,3.3
2022-03-10,5.5,0.0,30.25,10.2,0.6
